,Race,Area ID,Perceived: AGE,Basis for Stop,Stop_Year,Action Taken: None,Stop Time,Result of Stop: No Action,Result of Stop: Warning,Result of Stop: Citation for infraction,Result of Stop: In-field cite and release,Result of Stop: Custodial Arrest Pursuant to Outstanding Warrant,Result of Stop: Custodial Arrest Without Warrant,Result of Stop: Noncriminal Transport or Caretaking Transport,Result of Stop: Psychiatric Hold,Result of Stop: Referred to U.S. Department of Homeland Security
3671,7,20,50,,2018,1,16:10,0,1,0,0,0,0,0,0,0
3672,7,01,23,,2018,1,10:33,0,0,1,0,0,0,0,0,0
3673,7,15,55,,2018,1,09:30,0,0,1,0,0,0,0,0,0
3674,7,07,25,,2018,1,08:35,0,0,1,0,0,0,0,0,0
3675,1,11,40,,2018,1,15:51,0,0,1,0,0,0,0,0,0
3676,2,12,30,,2018,1,23:43,0,1,0,0,0,0,0,0,0
3677,2,18,25,Officer witnessed commission of a crime,2018,0,18:02,1,0,0,0,0,0,0,0,0
3678,2,09,36,,2018,1,21:54,0,0,1,0,0,0,0,0,0
3679,2,12,27,,2018,1,00:00,0,0,1,0,0,0,0,0,0
3680,7,16,60,,2018,1,17:30,0,0,1,0,0,0,0,0,0
3681,3,14,55,,2018,0,20:23,0,0,0,0,0,0,0,0,0
3682,3,02,35,,2018,1,08:47,0,0,1,0,0,0,0,0,0
3683,2,12,28,,2018,0,23:06,0,1,0,0,0,0,0,0,0
3684,2,07,34,,2018,1,18:40,0,0,1,0,0,0,0,0,0
3685,2,18,30,,2018,1,11:00,0,0,1,0,0,0,0,0,0
3686,2,03,20,,2018,1,19:45,0,1,0,0,0,0,0,0,0
3687,7,07,35,,2018,1,14:13,0,1,0,0,0,0,0,0,0
3688,2,03,60,,2018,0,08:23,0,0,0,0,0,1,0,0,0
3689,3,99,25,,2018,1,13:40,0,1,0,0,0,0,0,0,0
3690,2,18,24,,2018,0,23:57,0,1,0,0,0,0,0,0,0
3691,3,01,39,,2018,0,17:56,0,0,0,0,0,0,0,0,0
3692,3,17,55,,2018,1,16:23,0,1,0,0,0,0,0,0,0
3693,3,16,25,Matched suspect description,2018,0,09:35,1,0,0,0,0,0,0,0,0
3694,7,06,59,,2018,1,20:05,0,0,1,0,0,0,0,0,0
3695,3,15,28,Witness or victim identification of suspect at the scene,2018,0,18:52,0,0,0,0,0,1,0,0,0
3696,2,99,30,Officer witnessed commission of a crime,2018,0,16:21,1,0,0,0,0,0,0,0,0
3697,2,12,25,,2018,1,23:28,0,0,0,0,0,0,0,0,0
3698,3,13,21,,2018,1,09:00,0,0,1,0,0,0,0,0,0
3699,3,12,41,,2018,1,07:41,0,0,1,0,0,0,0,0,0
3700,3,16,21,,2018,1,09:30,0,0,1,0,0,0,0,0,0
3701,2,03,28,Other reasonable suspicion of a crime,2018,0,20:46,0,0,0,0,0,0,0,0,0
3702,3,10,20,,2018,0,01:07,0,0,1,0,0,0,0,0,0
3703,7,10,36,,2018,1,10:20,0,0,1,0,0,0,0,0,0
3704,7,01,51,,2018,0,23:14,0,0,1,0,0,0,0,0,0
3705,7,17,51,,2018,0,13:20,0,0,0,0,0,0,0,1,0
3706,3,01,35,,2018,1,18:24,0,0,0,0,0,0,0,0,0
3707,2,20,50,,2018,1,22:11,0,1,0,0,0,0,0,0,0
3708,3,13,30,,2018,1,21:25,0,1,0,0,0,0,0,0,0
3709,3,17,60,,2018,0,22:23,0,0,0,0,0,1,0,0,0
3710,2,03,35,,2018,1,21:11,0,0,1,0,0,0,0,0,0
3711,3,20,43,,2018,1,15:29,0,0,1,0,0,0,0,0,0
3712,3,05,28,,2018,1,11:33,0,0,1,0,0,0,0,0,0
3713,3,04,16,,2018,0,11:51,1,0,0,0,0,0,0,0,0
3714,2,06,38,Officer witnessed commission of a crime,2018,1,08:10,0,1,0,0,0,0,0,0,0
3715,2,01,48,Matched suspect description,2018,0,00:05,0,0,0,0,0,0,0,0,0
3716,2,01,70,Officer witnessed commission of a crime,2018,0,08:05,0,1,0,0,0,0,0,0,0
3717,3,01,60,,2018,1,16:50,0,0,1,0,0,0,0,0,0
3718,2,11,30,,2018,1,09:50,0,0,1,0,0,0,0,0,0
3719,3,19,44,,2018,1,13:37,0,0,1,0,0,0,0,0,0
3720,3,04,26,,2018,0,22:37,0,0,1,0,0,0,0,0,0
3721,3,18,18,,2018,0,19:42,1,0,0,0,0,0,0,0,0
3722,2,18,18,,2018,0,21:39,0,0,0,0,0,0,0,0,0
3723,2,12,27,,2018,0,19:46,0,1,0,0,0,0,0,0,0
3724,1,13,75,,2018,1,16:45,0,0,1,0,0,0,0,0,0
3725,3,12,38,,2018,1,10:15,0,0,1,0,0,0,0,0,0
3726,3,13,21,,2018,1,10:14,0,0,1,0,0,0,0,0,0
3727,3,13,30,,2018,0,02:43,0,0,0,0,0,0,0,0,0
3728,4,06,33,,2018,1,09:35,0,0,1,0,0,0,0,0,0
3729,2,20,25,,2018,1,00:14,0,0,1,0,0,0,0,0,0
3730,3,05,26,,2018,0,01:56,0,0,1,0,0,0,0,0,0
3731,2,06,20,Officer witnessed commission of a crime,2018,0,22:01,1,0,0,0,0,0,0,0,0
3732,7,06,35,,2018,1,17:05,0,1,0,0,0,0,0,0,0
3733,2,09,27,Officer witnessed commission of a crime,2018,1,16:10,0,0,0,1,0,0,0,0,0
3734,3,10,27,,2018,0,16:14,0,0,1,0,0,0,0,0,0
3735,2,18,30,Other reasonable suspicion of a crime,2018,0,23:09,1,0,0,0,0,0,0,0,0
3736,2,20,40,,2018,0,00:52,0,0,0,0,0,0,0,0,0
3737,3,06,32,,2018,1,23:58,1,0,0,0,0,0,0,0,0
3738,2,01,40,,2018,0,18:58,1,0,0,0,0,0,0,0,0
3739,3,05,34,,2018,0,16:21,0,0,0,0,0,0,0,0,0
3740,7,01,25,Other reasonable suspicion of a crime,2018,0,06:52,0,0,1,0,0,0,0,0,0
3741,7,01,64,,2018,1,09:36,0,0,1,0,0,0,0,0,0
3742,3,03,30,,2018,1,06:02,0,1,0,0,0,0,0,0,0
3743,3,07,24,,2018,1,08:30,0,0,1,0,0,0,0,0,0
3744,7,01,62,,2018,1,09:54,0,0,1,0,0,0,0,0,0
3745,3,03,30,,2018,1,20:22,0,0,1,0,0,0,0,0,0
3746,3,13,50,,2018,0,11:00,1,0,0,0,0,0,0,0,0
3747,3,18,35,,2018,1,09:05,0,0,1,0,0,0,0,0,0
3748,7,12,20,,2018,1,17:18,0,1,0,0,0,0,0,0,0
3749,2,03,44,,2018,1,22:20,0,0,1,0,0,0,0,0,0
3750,2,18,49,,2018,1,20:25,0,1,0,0,0,0,0,0,0
3751,3,12,20,,2018,1,20:02,0,1,0,0,0,0,0,0,0
3752,2,18,18,,2018,0,16:53,1,0,0,0,0,0,0,0,0
3753,7,11,45,,2018,1,07:20,0,0,1,0,0,0,0,0,0
3754,3,19,30,Other reasonable suspicion of a crime,2018,0,18:33,0,1,0,0,0,0,0,0,0
3755,7,02,25,,2018,0,11:13,1,0,0,0,0,0,0,0,0
3756,3,12,30,,2018,1,16:20,1,0,0,0,0,0,0,0,0
3757,2,10,32,,2018,1,21:15,0,0,1,0,0,0,0,0,0
3758,4,15,32,,2018,0,06:54,0,0,0,1,0,0,0,0,0
3759,1,10,30,,2018,1,18:23,0,0,1,0,0,0,0,0,0
3760,3,19,26,,2018,1,09:15,0,0,1,0,0,0,0,0,0
3761,1,11,49,,2018,1,14:40,0,1,0,0,0,0,0,0,0
3762,3,06,23,,2018,1,18:50,1,0,0,0,0,0,0,0,0
3763,2,01,44,,2018,1,22:25,0,1,0,0,0,0,0,0,0
3764,1,11,25,,2018,1,15:27,0,1,0,0,0,0,0,0,0
3765,3,02,35,,2018,1,21:25,0,1,0,0,0,0,0,0,0
3766,3,20,30,,2018,0,20:55,0,0,0,0,0,1,0,0,0
3767,2,01,57,,2018,1,13:08,0,0,1,0,0,0,0,0,0
3768,1,02,28,,2018,1,10:20,0,1,0,0,0,0,0,0,0
3769,2,09,58,,2018,1,08:20,0,0,1,0,0,0,0,0,0
3770,4,12,33,,2018,1,10:20,0,0,1,0,0,0,0,0,0
3771,3,15,40,,2018,0,22:27,0,0,0,0,0,0,0,0,0
3772,7,07,30,,2018,1,08:45,0,0,1,0,0,0,0,0,0
3773,2,13,22,,2018,0,20:34,0,0,0,0,0,0,0,1,0
3774,7,14,32,Officer witnessed commission of a crime,2018,0,06:41,0,0,0,1,0,0,0,0,0
3775,2,12,25,Other reasonable suspicion of a crime,2018,0,20:44,0,0,0,0,0,0,0,0,0
3776,2,01,50,Officer witnessed commission of a crime,2018,1,14:35,0,0,1,0,0,0,0,0,0
3777,3,10,46,,2018,1,20:19,0,0,1,0,0,0,0,0,0
3778,3,14,40,Officer witnessed commission of a crime,2018,1,09:00,0,0,1,0,0,0,0,0,0
3779,3,05,45,,2018,1,15:31,0,1,0,0,0,0,0,0,0
3780,2,19,32,,2018,0,10:52,0,0,0,0,0,0,0,0,0
3781,3,05,55,,2018,1,14:45,0,0,1,0,0,0,0,0,0
3782,2,17,44,,2018,1,18:52,0,0,1,0,0,0,0,0,0
3783,7,10,35,Other reasonable suspicion of a crime,2018,1,00:38,1,0,0,0,0,0,0,0,0
3784,2,12,25,,2018,0,21:06,0,0,1,0,0,0,0,0,0
3785,2,12,35,,2018,0,22:20,0,0,1,0,0,0,0,0,0
3786,2,07,41,,2018,1,18:15,0,0,1,0,0,0,0,0,0
3787,2,06,20,,2018,1,21:03,0,0,1,0,0,0,0,0,0
3788,3,16,30,,2018,1,23:00,0,1,0,0,0,0,0,0,0
3789,3,17,30,,2018,1,16:39,0,0,1,0,0,0,0,0,0
3790,2,03,36,,2018,1,16:55,0,0,1,0,0,0,0,0,0
3791,3,01,31,,2018,1,19:11,0,0,1,0,0,0,0,0,0
3792,7,06,23,,2018,1,16:20,0,1,0,0,0,0,0,0,0
3793,3,13,25,,2018,1,18:10,1,0,0,0,0,0,0,0,0
3794,3,19,25,Witness or victim identification of suspect at the scene,2018,0,20:10,0,0,0,0,0,1,0,0,0
3795,3,09,24,Matched suspect description,2018,0,08:00,0,1,0,0,0,0,0,0,0
3796,3,09,50,,2018,0,14:43,0,0,0,0,0,1,0,0,0
3797,7,19,30,Matched suspect description,2018,0,23:15,0,0,0,0,0,0,0,0,0
3798,3,21,25,,2018,0,15:45,0,0,0,0,0,0,0,1,0
3799,7,09,36,,2018,1,10:10,0,0,1,0,0,0,0,0,0
3800,7,01,33,,2018,1,06:05,0,0,1,0,0,0,0,0,0
3801,3,04,25,,2018,1,20:00,0,1,0,0,0,0,0,0,0
3802,3,12,30,,2018,1,17:22,0,1,0,0,0,0,0,0,0
3803,2,14,52,,2018,1,10:41,0,1,0,0,0,0,0,0,0
3804,2,99,35,,2018,1,20:04,1,0,0,0,0,0,0,0,0
3805,3,18,18,,2018,1,17:05,0,0,1,0,0,0,0,0,0
3806,2,12,31,,2018,0,18:56,1,0,0,0,0,0,0,0,0
3807,2,03,22,,2018,0,22:09,0,0,0,0,0,0,0,0,0
3808,2,18,30,,2018,0,16:38,0,1,0,0,0,0,0,0,0
3809,7,01,28,Witness or victim identification of suspect at the scene,2018,0,21:30,0,0,0,0,0,1,0,0,0
3810,2,07,30,,2018,1,19:27,0,1,0,0,0,0,0,0,0
3811,3,04,30,,2018,0,22:33,0,1,0,0,0,0,0,0,0
3812,2,07,20,,2018,1,15:58,0,0,1,0,0,0,0,0,0
3813,7,14,66,,2018,1,16:25,0,1,0,0,0,0,0,0,0
3814,3,16,43,Officer witnessed commission of a crime,2018,0,15:30,0,0,1,0,0,0,0,0,0
3815,3,09,25,Witness or victim identification of suspect at the scene,2018,0,17:19,0,1,0,0,0,0,0,0,0
3816,7,19,35,,2018,1,10:42,1,0,0,0,0,0,0,0,0
3817,7,01,40,Witness or victim identification of suspect at the scene,2018,0,07:32,0,0,0,0,0,1,0,0,0
3818,2,09,22,,2018,1,16:40,0,0,1,0,0,0,0,0,0
3819,4,20,25,,2018,1,21:34,0,0,1,0,0,0,0,0,0
3820,3,05,54,Witness or victim identification of suspect at the scene,2018,0,21:19,0,1,0,0,0,0,0,0,0
3821,3,10,40,Matched suspect description,2018,0,22:10,0,0,0,0,0,0,0,0,0
3822,3,01,55,Other reasonable suspicion of a crime,2018,0,23:01,0,0,0,0,0,1,0,0,0
3823,2,02,48,,2018,0,12:46,0,0,0,0,0,0,0,1,0
3824,2,18,30,Officer witnessed commission of a crime,2018,0,18:41,0,1,0,0,0,0,0,0,0
3825,3,13,25,,2018,0,22:58,0,1,0,0,0,0,0,0,0
3826,2,12,29,,2018,1,12:50,0,1,1,0,0,0,0,0,0
3827,2,03,27,,2018,0,14:33,0,1,0,0,0,0,0,0,0
3828,3,06,21,,2018,1,21:58,0,1,0,0,0,0,0,0,0
3829,3,19,38,,2018,1,19:01,0,0,0,0,0,1,0,0,0
3830,3,11,25,,2018,1,20:28,0,0,0,0,0,0,0,0,0
3831,2,19,20,Witness or victim identification of suspect at the scene,2018,0,09:30,0,0,0,0,0,0,0,0,0
3832,3,04,21,,2018,1,14:11,0,0,1,0,0,0,0,0,0
3833,2,06,40,,2018,1,22:14,0,1,0,0,0,0,0,0,0
3834,3,18,20,Suspected of acting as a lookout,2018,0,22:26,1,0,0,0,0,0,0,0,0
3835,7,15,30,,2018,1,16:42,0,0,1,0,0,0,0,0,0
3836,3,16,28,,2018,1,01:19,0,1,0,0,0,0,0,0,0
3837,3,05,25,,2018,1,23:15,0,1,0,0,0,0,0,0,0
3838,2,12,25,,2018,0,00:15,0,0,0,0,0,0,0,0,0
3839,7,15,37,,2018,0,22:15,0,0,0,0,0,0,0,0,0
3840,3,12,28,,2018,1,08:41,0,0,1,0,0,0,0,0,0
3841,3,20,50,,2018,1,15:20,0,0,1,0,0,0,0,0,0
3842,2,03,34,,2018,1,21:41,0,1,0,0,0,0,0,0,0
3843,7,15,26,Officer witnessed commission of a crime,2018,1,10:03,0,0,1,0,0,0,0,0,0
3844,3,13,20,,2018,1,22:24,0,0,1,0,0,0,0,0,0
3845,2,18,25,,2018,0,22:15,0,0,0,0,0,0,0,0,0
3846,3,05,39,,2018,1,16:45,0,1,0,0,0,0,0,0,0
3847,3,01,59,Officer witnessed commission of a crime,2018,1,14:07,0,1,0,0,0,0,0,0,0
3848,2,01,57,,2018,1,21:59,0,0,1,0,0,0,0,0,0
3849,7,15,30,,2018,1,11:30,0,0,1,0,0,0,0,0,0
3850,7,21,18,,2018,1,22:18,0,1,0,0,0,0,0,0,0
3851,7,14,36,Officer witnessed commission of a crime,2018,1,10:00,0,0,0,1,0,0,0,0,0
3852,3,13,33,,2018,1,16:45,0,0,1,0,0,0,0,0,0
3853,4,07,30,,2018,1,09:10,0,0,1,0,0,0,0,0,0
3854,7,21,31,,2018,1,15:07,0,0,1,0,0,0,0,0,0
3855,2,07,22,,2018,1,21:28,0,0,0,0,0,0,0,0,0
3856,3,19,25,,2018,1,20:28,0,0,1,0,0,0,0,0,0
3857,3,11,45,Officer witnessed commission of a crime,2018,1,18:20,0,0,0,1,0,0,0,0,0
3858,2,12,30,,2018,0,20:00,0,1,0,0,0,0,0,0,0
3859,3,10,20,,2018,1,16:00,0,0,1,0,0,0,0,0,0
3860,3,05,50,,2018,1,07:20,0,0,1,0,0,0,0,0,0
3861,2,03,46,Actions indicative of casing a victim or location,2018,1,08:03,0,1,0,0,0,0,0,0,0
3862,7,07,30,,2018,1,09:00,0,0,1,0,0,0,0,0,0
3863,2,12,56,,2018,1,09:47,0,0,1,0,0,0,0,0,0
3864,7,05,35,Officer witnessed commission of a crime,2018,1,08:02,0,0,0,0,0,1,0,0,0
3865,1,07,24,,2018,1,09:15,0,0,1,0,0,0,1,0,0
3866,2,12,30,,2018,1,22:40,0,1,0,0,0,0,0,0,0
3867,2,08,30,,2018,1,13:14,0,0,1,0,0,0,0,0,0
3868,3,21,26,,2018,1,16:27,0,1,0,0,0,0,0,0,0
3869,3,15,30,,2018,0,20:13,0,0,1,0,0,0,0,0,0
3870,3,05,20,Officer witnessed commission of a crime,2018,0,15:15,0,1,0,0,0,0,0,0,0
3871,2,03,26,,2018,0,20:17,0,0,1,0,0,0,0,0,0
3872,3,03,34,,2018,0,18:33,0,0,0,0,0,1,0,0,0
3873,3,15,32,,2018,0,17:30,0,0,0,0,0,1,0,0,0
3874,2,16,40,Witness or victim identification of suspect at the scene,2018,0,16:48,0,0,1,0,0,0,0,0,0
3875,2,07,30,Carrying suspicious object,2018,0,15:36,1,0,0,0,0,0,0,0,0
3876,3,04,40,,2018,0,21:53,0,1,0,0,0,0,0,0,0
3877,7,09,32,Matched suspect description,2018,0,12:46,0,1,0,0,0,0,0,0,0
3878,7,10,33,,2018,1,08:10,0,0,1,0,0,0,0,0,0
3879,3,13,31,,2018,1,21:19,0,1,0,0,0,0,0,0,0
3880,7,06,46,,2018,1,10:21,0,0,1,0,0,0,0,0,0
3881,3,18,30,Carrying suspicious object,2018,0,20:29,1,0,0,0,0,0,0,0,0
3882,4,08,42,,2018,1,10:47,0,0,1,0,0,0,0,0,0
3883,2,03,45,,2018,1,23:14,1,0,0,0,0,0,0,0,0
3884,3,04,25,,2018,1,19:47,0,0,0,0,0,0,0,0,0
3885,3,06,22,,2018,0,22:55,0,0,0,0,0,0,0,0,0
3886,3,20,53,Officer witnessed commission of a crime,2018,0,20:03,0,0,1,0,0,0,0,0,0
3887,3,10,50,,2018,1,14:07,1,0,0,0,0,0,0,0,0
3888,7,10,55,Officer witnessed commission of a crime,2018,0,14:50,0,0,0,1,0,0,0,0,0
3889,2,11,38,,2018,0,22:28,0,0,1,0,0,0,0,0,0
3890,3,13,31,,2018,1,19:51,1,0,0,0,0,0,0,0,0
3891,7,21,60,Officer witnessed commission of a crime,2018,0,18:00,0,0,0,0,0,1,0,0,0
3892,3,20,34,,2018,0,18:12,0,0,0,0,1,0,0,0,0
3893,7,16,57,,2018,1,08:31,0,0,1,0,0,0,0,0,0
3894,2,01,30,,2018,0,14:13,0,1,0,0,0,0,0,0,0
3895,3,18,22,,2018,1,15:12,1,0,0,0,0,0,0,0,0
3896,7,15,30,,2018,1,13:16,0,0,1,0,0,0,0,0,0
3897,3,13,25,,2018,0,00:13,0,1,0,0,0,0,0,0,0
3898,2,01,26,,2018,1,23:11,0,0,1,0,0,0,0,0,0
3899,1,13,50,,2018,1,14:15,1,0,0,0,0,0,0,0,0
3900,3,19,21,,2018,1,03:46,0,0,1,0,0,0,0,0,0
3901,2,15,19,,2018,1,08:07,0,0,1,0,0,0,0,0,0
3902,7,21,40,,2018,0,12:04,0,0,0,0,1,0,0,0,0
3903,3,02,22,,2018,1,08:30,0,1,0,0,0,0,0,0,0
3904,7,01,23,,2018,1,07:47,0,0,1,0,0,0,0,0,0
3905,2,14,43,,2018,0,07:45,0,0,0,0,0,1,0,0,0
3906,3,04,26,Matched suspect description,2018,0,21:12,0,0,0,0,0,0,0,0,0
3907,2,03,22,,2018,0,00:00,0,0,1,0,0,0,0,0,0
3908,2,13,29,Officer witnessed commission of a crime,2018,1,11:18,0,0,0,1,0,0,0,0,0
3909,3,18,25,Other reasonable suspicion of a crime,2018,0,21:52,0,1,0,0,0,0,0,0,0
3910,7,01,50,Other reasonable suspicion of a crime,2018,0,10:06,0,0,1,0,0,0,0,0,0
3911,2,03,35,,2018,0,21:28,0,0,0,0,0,0,0,0,0
3912,3,13,16,Other reasonable suspicion of a crime,2018,0,16:33,0,1,0,0,0,0,0,0,0
3913,2,01,26,,2018,1,18:07,0,0,1,0,0,0,0,0,0
3914,3,12,33,Suspected of acting as a lookout,2018,0,14:17,0,0,0,0,0,0,0,0,0
3915,2,03,54,,2018,1,08:58,0,1,1,0,0,0,0,0,0
3916,3,09,36,,2018,0,23:22,0,0,0,0,0,0,0,0,0
3917,7,05,45,,2018,1,16:57,1,0,0,0,0,0,0,0,0
3918,2,20,25,,2018,0,03:37,0,0,0,0,0,0,0,0,0
3919,3,12,35,,2018,0,20:15,0,1,0,0,0,0,0,0,0
3920,3,13,19,,2018,1,09:30,0,1,0,0,0,0,0,0,0
3921,7,06,28,Officer witnessed commission of a crime,2018,0,05:00,0,1,0,0,0,0,0,0,0
3922,3,13,22,,2018,1,16:52,1,0,0,0,0,0,0,0,0
3923,3,01,25,,2018,1,22:54,0,1,0,0,0,0,0,0,0
3924,3,12,18,,2018,1,21:00,0,0,1,0,0,0,0,0,0
3925,2,13,30,,2018,1,19:28,0,1,0,0,0,0,0,0,0
3926,3,03,23,Witness or victim identification of suspect at the scene,2018,0,22:03,0,0,0,0,0,0,0,0,0
3927,2,01,42,,2018,1,17:00,0,1,0,0,0,0,0,0,0
3928,3,06,35,Other reasonable suspicion of a crime,2018,0,01:53,0,0,0,0,0,0,0,0,0
3929,3,19,30,Matched suspect description,2018,0,20:05,1,0,0,0,0,0,0,0,0
3930,3,12,68,,2018,1,10:30,0,0,1,0,0,0,0,0,0
3931,2,12,25,,2018,0,19:01,1,0,0,0,0,0,0,0,0
3932,2,12,55,,2018,1,07:55,0,0,1,0,0,0,0,0,0
3933,3,19,28,,2018,0,16:32,0,0,1,0,0,0,0,0,0
3934,2,03,40,,2018,0,23:15,0,0,0,0,0,0,0,0,0
3935,3,02,56,Officer witnessed commission of a crime,2018,1,16:15,0,0,1,0,0,0,0,0,0
3936,7,02,42,Officer witnessed commission of a crime,2018,1,10:05,0,0,1,0,0,0,0,0,0
3937,3,03,25,,2018,1,19:15,0,0,0,0,0,0,0,0,0
3938,2,01,50,Officer witnessed commission of a crime,2018,1,13:15,0,0,0,0,0,0,0,0,0
3939,2,12,18,,2018,0,16:20,1,0,0,0,0,0,0,0,0
3940,3,06,18,,2018,0,21:02,0,0,0,0,0,0,0,0,0
3941,7,01,30,,2018,1,15:40,0,0,1,0,0,0,0,0,0
3942,2,07,36,,2018,1,09:20,0,0,1,0,0,0,0,0,0
3943,1,02,35,,2018,1,19:26,0,0,1,0,0,0,0,0,0
3944,4,15,30,Officer witnessed commission of a crime,2018,0,09:28,1,0,0,0,0,0,0,0,0
3945,3,21,54,,2018,1,08:12,0,0,1,0,0,0,0,0,0
3946,1,20,25,,2018,1,01:06,1,0,0,0,0,0,0,0,0
3947,4,14,35,,2018,0,20:42,0,1,0,0,0,0,0,0,0
3948,2,18,51,,2018,1,16:31,1,0,0,0,0,0,0,0,0
3949,3,04,18,,2018,1,19:17,1,0,0,0,0,0,0,0,0
3950,2,12,46,,2018,0,19:29,0,1,0,0,0,0,0,0,0
3951,3,18,22,,2018,0,20:32,0,0,0,0,0,0,0,0,0
3952,2,12,22,,2018,0,11:34,0,0,1,0,0,0,0,0,0
3953,7,05,37,,2018,1,08:15,0,0,1,0,0,0,0,0,0
3954,7,07,36,,2018,1,15:15,0,0,1,0,0,0,0,0,0
3955,7,14,28,,2018,1,13:30,0,0,1,0,0,0,0,0,0
3956,3,05,30,Officer witnessed commission of a crime,2018,0,22:23,0,1,0,0,0,0,0,0,0
3957,3,13,27,,2018,1,22:51,0,1,0,0,0,0,0,0,0
3958,3,11,29,,2018,0,00:36,0,0,1,0,0,0,0,0,0
3959,4,08,40,Officer witnessed commission of a crime,2018,0,16:00,0,0,0,0,1,0,0,0,0
3960,3,13,20,,2018,0,23:12,0,1,0,0,0,0,0,0,0
3961,3,13,31,,2018,1,11:50,0,0,1,0,0,0,0,0,0
3962,2,01,40,Other reasonable suspicion of a crime,2018,0,15:41,0,1,0,0,0,0,0,0,0
3963,2,21,21,Witness or victim identification of suspect at the scene,2018,1,16:12,1,0,0,0,0,0,0,0,0
3964,2,18,50,,2018,1,22:38,1,0,0,0,0,0,0,0,0
3965,3,03,23,,2018,1,21:51,0,0,0,0,0,0,0,0,0
3966,3,01,40,,2018,1,13:45,0,1,0,0,0,0,0,0,0
3967,3,11,19,Matched suspect description,2018,0,22:15,0,0,0,0,0,0,0,0,0
3968,7,17,44,Matched suspect description,2018,0,09:06,0,0,0,0,0,1,0,0,0
3969,3,13,20,,2018,1,18:12,0,1,0,0,0,0,0,0,0
3970,1,14,63,,2018,1,23:57,0,0,1,0,0,0,0,0,0
3971,7,19,50,,2018,1,23:51,0,0,1,0,0,0,0,0,0
3972,2,12,28,,2018,0,18:25,0,0,0,0,0,0,0,0,0
3973,2,03,45,,2018,1,20:57,0,0,0,0,0,0,0,0,0
3974,3,12,20,,2018,1,17:44,0,0,1,0,0,0,0,0,0
3975,7,17,59,,2018,1,09:51,0,0,1,0,0,0,0,0,0
3976,7,10,62,,2018,1,21:54,0,0,1,0,0,0,0,0,0
3977,2,18,28,,2018,0,21:33,0,0,1,0,0,0,0,0,0
3978,3,13,25,,2018,0,17:47,0,0,0,0,0,0,0,0,0
3979,1,06,41,Officer witnessed commission of a crime,2018,1,20:20,0,0,1,0,0,0,0,0,0
3980,1,18,33,,2018,0,08:22,0,0,1,0,0,0,0,0,0
3981,2,20,22,Matched suspect description,2018,1,05:45,0,0,0,0,0,1,0,0,0
3982,3,10,35,,2018,1,17:47,0,1,0,0,0,0,0,0,0
3983,3,02,47,,2018,0,20:06,0,0,0,0,0,1,0,0,0
3984,3,06,30,,2018,1,21:58,0,1,0,0,0,0,0,0,0
3985,3,17,54,,2018,1,11:10,0,0,1,0,0,0,0,0,0
3986,2,18,50,,2018,1,16:51,0,1,0,0,0,0,0,0,0
3987,3,04,64,,2018,1,08:04,0,1,0,0,0,0,0,0,0
3988,3,20,42,,2018,0,23:11,0,0,1,0,0,0,0,0,0
3989,6,09,45,,2018,1,07:35,0,1,0,0,0,0,0,0,0
3990,7,16,74,,2018,1,08:25,0,0,1,0,0,0,0,0,0
3991,3,01,47,,2018,1,04:20,0,0,1,0,0,0,0,0,0
3992,7,21,35,,2018,1,10:52,0,1,0,0,0,0,0,0,0
3993,2,12,20,,2018,0,19:05,0,0,0,0,0,0,0,0,0
3994,4,21,45,,2018,0,22:10,0,1,0,0,0,0,0,0,0
3995,2,12,63,,2018,1,15:50,0,1,0,0,0,0,0,0,0
3996,3,17,40,,2018,1,14:15,0,1,0,0,0,0,0,0,0
3997,2,12,25,,2018,0,21:26,0,1,0,0,0,0,0,0,0
3998,4,10,45,,2018,1,11:48,0,0,1,0,0,0,0,0,0
3999,3,15,25,,2018,1,23:05,0,1,0,0,0,0,0,0,0
4000,3,04,60,Officer witnessed commission of a crime,2019,1,14:50,0,1,0,0,0,0,0,0,0
4001,7,13,35,Other reasonable suspicion of a crime,2019,0,09:57,0,0,0,0,0,0,0,0,0
4002,3,21,25,,2019,0,22:05,0,1,0,0,0,0,0,0,0
4003,1,21,51,,2019,1,22:22,1,0,0,0,0,0,0,0,0
4004,3,13,27,Other reasonable suspicion of a crime,2019,0,18:32,0,0,0,0,0,0,0,0,0
4005,2,03,30,,2019,1,20:03,1,0,0,0,0,0,0,0,0
4006,1,01,64,,2019,1,20:25,0,0,1,0,0,0,0,0,0
4007,3,05,20,,2019,1,23:48,0,1,0,0,0,0,0,0,0
4008,3,02,25,,2019,0,16:15,0,1,0,0,0,0,0,0,0
4009,2,12,25,,2019,0,13:42,0,1,0,0,0,0,0,0,0
4010,2,12,18,Other reasonable suspicion of a crime,2019,0,15:55,1,0,0,0,0,0,0,0,0
4011,7,01,58,,2019,0,16:40,0,0,0,0,0,0,1,1,0
4012,3,11,54,,2019,0,22:46,0,0,0,0,0,1,0,0,0
4013,2,03,25,Other reasonable suspicion of a crime,2019,0,15:15,0,0,0,0,0,0,0,0,0
4014,3,03,15,,2019,1,15:30,0,1,0,0,0,0,0,0,0
4015,7,11,25,,2019,0,00:10,0,0,0,0,0,0,1,0,0
4016,3,05,21,Officer witnessed commission of a crime,2019,0,22:06,0,1,0,0,0,0,0,0,0
4017,2,09,30,,2019,1,21:08,1,0,0,0,0,0,0,0,0
